GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BookStore,com.bookstore,Application,5,76,0,0,2,11,1,4,1,4
BookStore,com.bookstore.exception,RestExceptionHandler,17,21,0,0,4,5,1,2,1,2
BookStore,com.bookstore.exception,ErrorResponse,0,17,0,0,0,7,0,5,0,5
BookStore,com.bookstore.exception,BookException,6,7,0,0,3,3,2,1,2,1
BookStore,com.bookstore.service,BookServiceImpl,0,24,0,0,0,6,0,5,0,5
BookStore,com.bookstore.util,PayloadValidator,3,7,0,2,2,1,1,2,1,1
BookStore,com.bookstore.controller,BookController,0,141,0,8,0,24,0,11,0,7
BookStore,com.bookstore.model,Book,0,66,0,0,0,28,0,14,0,14
BookStore,com.bookstore.model,Response,11,15,0,0,6,6,3,3,3,3
